Text:  ONE DAY A YOUNG BOY COMES UPON THE SUNFLOWER WHILE VISITING THE GARDEN AND HE NOTICES HOW WEAK IT LOOKS
Conf:  4
Ref:   00j9bKdiOjk

FRAME 	X 	Y 	W 	H 
002259 	0.440 	0.099 	0.108 	0.279 
002260 	0.442 	0.103 	0.107 	0.274 
002261 	0.445 	0.102 	0.105 	0.276 
002262 	0.449 	0.099 	0.103 	0.278 
002263 	0.451 	0.099 	0.102 	0.278 
002264 	0.452 	0.101 	0.102 	0.275 
002265 	0.455 	0.101 	0.103 	0.270 
002266 	0.457 	0.100 	0.102 	0.271 
002267 	0.460 	0.100 	0.102 	0.271 
002268 	0.460 	0.102 	0.104 	0.270 
002269 	0.460 	0.104 	0.104 	0.272 
002270 	0.461 	0.106 	0.104 	0.268 
002271 	0.461 	0.107 	0.104 	0.264 
002272 	0.460 	0.108 	0.103 	0.269 
002273 	0.460 	0.107 	0.103 	0.278 
002274 	0.459 	0.109 	0.103 	0.281 
002275 	0.457 	0.111 	0.103 	0.278 
002276 	0.455 	0.112 	0.103 	0.278 
002277 	0.454 	0.112 	0.102 	0.277 
002278 	0.452 	0.111 	0.104 	0.278 
002279 	0.451 	0.109 	0.104 	0.279 
002280 	0.450 	0.110 	0.103 	0.274 
002281 	0.448 	0.111 	0.104 	0.269 
002282 	0.448 	0.109 	0.103 	0.271 
002283 	0.447 	0.108 	0.102 	0.275 
002284 	0.446 	0.108 	0.102 	0.274 
002285 	0.443 	0.111 	0.104 	0.264 
002286 	0.442 	0.109 	0.104 	0.265 
002287 	0.441 	0.109 	0.103 	0.266 
002288 	0.441 	0.107 	0.103 	0.268 
002289 	0.440 	0.106 	0.103 	0.270 
002290 	0.439 	0.107 	0.104 	0.270 
002291 	0.439 	0.106 	0.105 	0.270 
002292 	0.441 	0.106 	0.104 	0.277 
002293 	0.442 	0.106 	0.103 	0.286 
002294 	0.442 	0.109 	0.104 	0.279 
002295 	0.439 	0.110 	0.106 	0.273 
002296 	0.437 	0.111 	0.106 	0.267 
002297 	0.436 	0.110 	0.103 	0.266 
002298 	0.436 	0.111 	0.103 	0.265 
002299 	0.434 	0.109 	0.104 	0.266 
002300 	0.432 	0.106 	0.105 	0.275 
002301 	0.432 	0.104 	0.103 	0.277 
002302 	0.431 	0.103 	0.102 	0.278 
002303 	0.430 	0.102 	0.103 	0.278 
002304 	0.428 	0.102 	0.102 	0.278 
002305 	0.429 	0.108 	0.106 	0.274 
002306 	0.428 	0.110 	0.106 	0.268 
002307 	0.426 	0.110 	0.106 	0.269 
002308 	0.426 	0.109 	0.106 	0.274 
002309 	0.426 	0.110 	0.105 	0.276 
002310 	0.425 	0.110 	0.106 	0.274 
002311 	0.423 	0.112 	0.105 	0.267 
002312 	0.422 	0.112 	0.106 	0.267 
002313 	0.421 	0.110 	0.105 	0.271 
002314 	0.421 	0.108 	0.104 	0.280 
002315 	0.420 	0.110 	0.104 	0.278 
002316 	0.419 	0.110 	0.105 	0.276 
002317 	0.417 	0.109 	0.105 	0.277 
002318 	0.418 	0.109 	0.104 	0.275 
002319 	0.417 	0.109 	0.104 	0.273 
