,spk,fid,audio_path,gray_video_path,optical_flow_path,audio_length,video_length,video_H,video_W
0,02M,sa1,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sa1.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sa1.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sa1.npy,77483,300,67,67
1,02M,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sa2.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sa2.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sa2.npy,69292,269,67,67
2,02M,si1011,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1011.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1011.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1011.npy,94550,367,67,67
3,02M,si1106,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1106.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1106.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1106.npy,89430,346,67,67
4,02M,si1157,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1157.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1157.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1157.npy,92160,359,67,67
5,02M,si1276,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1276.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1276.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1276.npy,68609,265,67,67
6,02M,si1278,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1278.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1278.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1278.npy,100353,390,67,67
7,02M,si1282,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1282.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1282.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1282.npy,92843,361,67,67
8,02M,si1283,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1283.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1283.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1283.npy,92843,361,67,67
9,02M,si1296,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1296.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1296.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1296.npy,86358,336,67,67
10,02M,si1423,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1423.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1423.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1423.npy,58710,227,67,67
11,02M,si1455,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1455.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1455.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1455.npy,97280,377,67,67
12,02M,si1549,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1549.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1549.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1549.npy,52225,202,67,67
13,02M,si1550,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1550.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1550.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1550.npy,58369,225,67,67
14,02M,si1736,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1736.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1736.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1736.npy,65537,254,67,67
15,02M,si1787,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1787.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1787.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1787.npy,60076,234,67,67
16,02M,si1906,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1906.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1906.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1906.npy,60417,234,67,67
17,02M,si1908,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1908.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1908.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1908.npy,81579,317,67,67
18,02M,si1912,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1912.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1912.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1912.npy,86017,334,67,67
19,02M,si1926,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si1926.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si1926.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si1926.npy,60417,236,67,67
20,02M,si2085,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2085.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2085.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2085.npy,78507,304,67,67
21,02M,si2179,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2179.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2179.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2179.npy,55638,215,67,67
22,02M,si2180,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2180.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2180.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2180.npy,64854,252,67,67
23,02M,si2185,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2185.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2185.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2185.npy,76800,298,67,67
24,02M,si2271,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2271.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2271.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2271.npy,57345,221,67,67
25,02M,si2287,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si2287.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si2287.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si2287.npy,52907,204,67,67
26,02M,si476,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si476.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si476.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si476.npy,91137,355,67,67
27,02M,si527,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si527.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si527.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si527.npy,59393,229,67,67
28,02M,si646,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si646.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si646.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si646.npy,60758,236,67,67
29,02M,si652,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si652.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si652.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si652.npy,68950,267,67,67
30,02M,si653,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si653.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si653.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si653.npy,63489,246,67,67
31,02M,si666,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si666.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si666.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si666.npy,64854,252,67,67
32,02M,si822,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si822.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si822.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si822.npy,100694,392,67,67
33,02M,si825,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si825.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si825.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si825.npy,82945,323,67,67
34,02M,si873,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si873.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si873.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si873.npy,88747,346,67,67
35,02M,si919,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si919.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si919.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si919.npy,88406,344,67,67
36,02M,si920,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si920.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si920.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si920.npy,86699,338,67,67
37,02M,si925,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si925.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/si925.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/si925.npy,57003,221,67,67
38,02M,sx105,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx105.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx105.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx105.npy,63489,246,67,67
39,02M,sx106,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx106.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx106.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx106.npy,66560,259,67,67
40,02M,sx108,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx108.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx108.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx108.npy,69633,271,67,67
41,02M,sx109,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx109.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx109.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx109.npy,69292,269,67,67
42,02M,sx110,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx110.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx110.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx110.npy,69292,269,67,67
43,02M,sx111,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx111.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx111.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx111.npy,60076,234,67,67
44,02M,sx112,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx112.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx112.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx112.npy,64513,250,67,67
45,02M,sx113,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx113.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx113.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx113.npy,60758,236,67,67
