,spk1,spk1_fid,spk1_path,spk2,spk2_fid,spk2_path,noise_type,noise_db,noise_path,mixture_path
0,24M,sa1,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sa1.wav,37F,si980,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/si980.wav,Cafe,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/15/volunteers/24M/straightcam/sa1.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sa1_37F_si980.wav
1,24M,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sa2.wav,30F,si1797,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/si1797.wav,Street,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/20/volunteers/24M/straightcam/sa2.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sa2_30F_si1797.wav
2,24M,si1000,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1000.wav,16M,sx350,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/sx350.wav,LR,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/10/volunteers/24M/straightcam/si1000.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1000_16M_sx350.wav
3,24M,si1097,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1097.wav,03F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/03F/straightcam/sa2.wav,Babble,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/0/volunteers/24M/straightcam/si1097.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1097_03F_sa2.wav
4,24M,si1100,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1100.wav,59F,sx336,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/sx336.wav,Street,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/10/volunteers/24M/straightcam/si1100.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1100_59F_sx336.wav
5,24M,si1114,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1114.wav,26M,sx402,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/sx402.wav,Car,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/5/volunteers/24M/straightcam/si1114.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1114_26M_sx402.wav
6,24M,si1188,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1188.wav,30F,sx451,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/sx451.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1188.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1188_30F_sx451.wav
7,24M,si1263,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1263.wav,01M,sx240,/project/pi_mfiterau_umass_edu/TCD_TIMIT/01M/straightcam/sx240.wav,LR,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/15/volunteers/24M/straightcam/si1263.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1263_01M_sx240.wav
8,24M,si1273,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1273.wav,20M,si692,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/si692.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1273.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1273_20M_si692.wav
9,24M,si1279,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1279.wav,50F,sx332,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx332.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1279.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1279_50F_sx332.wav
10,24M,si1362,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1362.wav,57M,si1449,/project/pi_mfiterau_umass_edu/TCD_TIMIT/57M/straightcam/si1449.wav,White,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/15/volunteers/24M/straightcam/si1362.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1362_57M_si1449.wav
11,24M,si1449,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1449.wav,06M,sx248,/project/pi_mfiterau_umass_edu/TCD_TIMIT/06M/straightcam/sx248.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1449.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1449_06M_sx248.wav
12,24M,si1544,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1544.wav,50F,sx149,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx149.wav,LR,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/15/volunteers/24M/straightcam/si1544.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1544_50F_sx149.wav
13,24M,si1546,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1546.wav,13F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/13F/straightcam/sa2.wav,LR,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/20/volunteers/24M/straightcam/si1546.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1546_13F_sa2.wav
14,24M,si1566,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1566.wav,52M,sx236,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx236.wav,Car,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/20/volunteers/24M/straightcam/si1566.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1566_52M_sx236.wav
15,24M,si1630,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1630.wav,50F,sx326,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx326.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1630.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1630_50F_sx326.wav
16,24M,si1727,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1727.wav,02M,si527,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si527.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1727.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1727_02M_si527.wav
17,24M,si1730,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1730.wav,23M,sx8,/project/pi_mfiterau_umass_edu/TCD_TIMIT/23M/straightcam/sx8.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1730.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1730_23M_sx8.wav
18,24M,si1818,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1818.wav,50F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sa2.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/si1818.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1818_50F_sa2.wav
