,Unnamed: 0,spk1,spk1_fid,spk1_path,spk2,spk2_fid,spk2_path,noise_type,noise_db,noise_path,mixture_path,overlap_ms,s1_silence_start_ms,s1_silence_end_ms
0,0,24M,sa1,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sa1.wav,37F,si980,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/si980.wav,Cafe,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/15/volunteers/24M/straightcam/sa1.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sa1_37F_si980.wav,4000,4000.0,4000.0
1,1,24M,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sa2.wav,30F,si1797,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/si1797.wav,Street,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/20/volunteers/24M/straightcam/sa2.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sa2_30F_si1797.wav,4000,4000.0,4000.0
2,2,24M,si1000,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1000.wav,16M,sx350,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/sx350.wav,LR,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/10/volunteers/24M/straightcam/si1000.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1000_16M_sx350.wav,4000,4000.0,4000.0
3,3,24M,si1097,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1097.wav,03F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/03F/straightcam/sa2.wav,Babble,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/0/volunteers/24M/straightcam/si1097.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1097_03F_sa2.wav,4000,4000.0,4000.0
4,4,24M,si1100,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1100.wav,59F,sx336,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/sx336.wav,Street,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/10/volunteers/24M/straightcam/si1100.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1100_59F_sx336.wav,4000,4000.0,4000.0
5,5,24M,si1114,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1114.wav,26M,sx402,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/sx402.wav,Car,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/5/volunteers/24M/straightcam/si1114.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1114_26M_sx402.wav,3541,3541.375,4000.0
6,6,24M,si1188,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1188.wav,30F,sx451,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/sx451.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1188.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1188_30F_sx451.wav,2837,2837.375,4000.0
7,7,24M,si1263,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1263.wav,01M,sx240,/project/pi_mfiterau_umass_edu/TCD_TIMIT/01M/straightcam/sx240.wav,LR,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/15/volunteers/24M/straightcam/si1263.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1263_01M_sx240.wav,4000,4000.0,4000.0
8,8,24M,si1273,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1273.wav,20M,si692,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/si692.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1273.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1273_20M_si692.wav,4000,4000.0,4000.0
9,9,24M,si1279,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1279.wav,50F,sx332,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx332.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1279.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1279_50F_sx332.wav,3050,3050.75,3989.375
