,utterance_id,noise_samples_beginning_16k,noise_sample_end_16k,target_speaker1_snr_db,time_duration
0,40na010x_1.9857_01xo031a_-1.9857.wav,10863,31985,1.7752808004476472,14.2466875
1,020c0211_0.44692_40mc021b_-0.44692.wav,24854,25631,2.907001695982699,6.5771875
2,01do030h_1.6205_024o030m_-1.6205.wav,31761,11305,-2.628546912140037,9.8230625
3,20uo010f_2.3772_022c020k_-2.3772.wav,7334,24539,-2.539257009415917,9.8520625
4,20aa010c_1.617_01jc020s_-1.617.wav,8421,20913,1.351757618790019,7.253375
5,40jc0216_2.2526_40ha010s_-2.2526.wav,3116,23478,0.5644269244232385,9.9815625
6,20qa010h_1.7552_013o0312_-1.7552.wav,15409,21052,2.986202027627618,8.0988125
7,028o031d_0.75963_01ca010d_-0.75963.wav,10199,22591,1.6124317532947303,9.4175625
8,40bo0319_1.5155_01uc0201_-1.5155.wav,17006,1738,0.2059918748634204,8.625
9,20ia010n_1.3886_028a010m_-1.3886.wav,1484,17172,5.672160826562656,5.846
10,01xo0302_0.13399_02do030v_-0.13399.wav,7309,13703,4.480102909298173,6.7325625
11,026a010b_1.2413_20cc010b_-1.2413.wav,27860,20057,5.303704697951105,10.7748125
12,20la0108_2.1194_02da010f_-2.1194.wav,5423,30349,0.935267929512368,9.310875
13,20oa0105_0.8852_40ha010z_-0.8852.wav,20523,21795,5.85945177895025,7.814625
14,20va010a_1.6058_404o0313_-1.6058.wav,10424,28850,5.589040790012318,12.0131875
15,01ka010f_2.4256_20ia0103_-2.4256.wav,27889,10548,-2.8587342634415065,8.9450625
16,20ic010c_1.0292_021o0317_-1.0292.wav,17144,1978,5.244990777505997,7.8738125
17,40ac020b_0.32714_02ca0109_-0.32714.wav,11754,22200,4.726722019897744,11.067125
18,015c0202_0.45613_40ac020a_-0.45613.wav,9176,27202,-1.018271378606363,13.8226875
19,204a010y_1.6818_01la0109_-1.6818.wav,11627,23557,1.0836371574798616,8.3508125
20,408a010o_0.79757_024o0316_-0.79757.wav,25042,6604,2.4888892221682672,6.2136875
21,205a010h_1.5091_02ba0107_-1.5091.wav,309,29126,4.495838415621565,9.09175
22,20ac010h_2.4671_40io0319_-2.4671.wav,28550,4552,3.417777680886819,6.628875
23,40ea010r_2.2194_401c020s_-2.2194.wav,29999,11151,0.7175636528627192,7.6289375
24,01wc020a_0.10931_01qc0215_-0.10931.wav,21505,6587,5.67814406782799,10.5651875
25,40ao030a_0.083284_01fo030v_-0.083284.wav,25831,28755,-0.3728056156179846,12.4573125
26,01sc020l_2.4707_20vc010b_-2.4707.wav,19861,10737,2.945846624299988,10.872375
27,20ia0107_1.7593_206a010n_-1.7593.wav,16136,27826,1.6420428633731472,8.207625
28,017c0209_1.6928_01ta010d_-1.6928.wav,9576,22603,-1.3027421277018156,8.5780625
29,02bo0302_2.0503_02eo031g_-2.0503.wav,15477,25524,3.669889073289429,14.5230625
30,02dc020s_0.28782_20vc010c_-0.28782.wav,17848,17944,5.579724226569322,9.01625
31,20sa0101_0.069808_406o0304_-0.069808.wav,25186,15282,0.8271641767792741,10.691
32,40hc0219_1.4927_20bo0107_-1.4927.wav,21857,10564,-1.4801389648235077,17.0463125
33,01uc020b_0.45086_401o030t_-0.45086.wav,17690,20751,4.763875393221351,10.135375
34,011c0201_2.4532_40ko0311_-2.4532.wav,1439,27656,0.038532008916388,11.98575
35,208c0105_1.9885_40io0304_-1.9885.wav,7139,12113,0.8318148591961485,8.46325
36,01qa010p_1.1165_20ma0112_-1.1165.wav,20608,4304,2.1106404354015806,7.257
37,026o030y_0.069894_021a0103_-0.069894.wav,27590,11287,-2.944484674625061,7.4691875
38,01bo0307_0.91005_02co0319_-0.91005.wav,17289,16458,-2.407461122839319,13.2084375
39,401o030e_1.5254_019c0203_-1.5254.wav,4704,7077,-0.6509195097498388,7.1523125
40,20ta010x_1.1587_01zc0204_-1.1587.wav,4424,5282,0.1687057101455886,6.80925
41,20pc010a_0.61738_01dc0210_-0.61738.wav,27100,6805,2.273943512149094,11.1616875
42,40aa010i_1.2893_205a010p_-1.2893.wav,28022,14401,5.040882194876547,8.65075
43,20ec010b_0.19798_029o030l_-0.19798.wav,11482,19718,-0.5581105478387611,15.176125
44,209o010p_1.8416_01sa010u_-1.8416.wav,19427,7636,4.54902044577678,12.6114375
45,206o010q_0.7653_028a0109_-0.7653.wav,6013,835,2.7390523439639534,6.308
46,40oc020u_1.7285_40ja010i_-1.7285.wav,3009,266,3.8323544117913695,7.9169375
47,205a010h_0.39242_40ca010f_-0.39242.wav,29786,18690,0.8695679813064041,9.20975
48,20uc010e_1.36_020a0108_-1.36.wav,13861,17590,-2.438137189519235,5.9889375
49,20la0110_0.40976_01za0104_-0.40976.wav,29969,5899,2.513535893198348,8.30175
50,011o0307_1.3723_024o0317_-1.3723.wav,2485,28124,-1.6426138398850645,13.71175
51,404a010u_1.9383_026o0306_-1.9383.wav,23025,2878,0.2418276909833858,9.803125
52,40bo0311_0.93456_40jo031e_-0.93456.wav,19276,28894,0.3232797915346248,14.095
53,01co0315_2.3219_40oo030c_-2.3219.wav,14703,15728,3.8742065833691175,16.196375
54,01ma010z_0.4728_40ao0307_-0.4728.wav,3973,16274,0.0777894547584003,11.76375
55,024o030y_1.3473_02ac0213_-1.3473.wav,22783,10911,1.2839181254521137,14.445
56,20uo0105_1.9712_20ic0107_-1.9712.wav,31399,27164,-1.4723661711081617,12.2801875
57,20ca010l_1.2654_20uo010a_-1.2654.wav,1148,7489,-0.4993597943933339,12.2198125
58,015a010x_1.9368_01mo0307_-1.9368.wav,8765,5205,5.732319626850412,7.6226875
59,403a010t_2.3425_02ac0201_-2.3425.wav,24526,13328,1.6426204770733168,17.12625
60,01ca010v_1.0935_40gc020u_-1.0935.wav,3699,1541,0.4771313152144079,9.415125
61,013a010q_1.4907_20lc010m_-1.4907.wav,16212,21328,-1.5172343332209053,8.912125
62,204o010f_2.1088_20cc010j_-2.1088.wav,9993,21991,0.2655429059554768,10.739
63,01vo0312_0.73937_40ma0112_-0.73937.wav,5755,23537,3.871237502784906,13.74
64,40ka010b_2.0092_208a0105_-2.0092.wav,8287,1332,1.9640198415174472,6.0411875
65,01to030n_1.0917_02eo030e_-1.0917.wav,22722,9119,1.3900829549254743,13.00425
66,20sa010y_1.7955_20rc0102_-1.7955.wav,1293,30228,-2.4415255192570617,7.7100625
67,01ia0113_0.13438_01xo030r_-0.13438.wav,17176,19779,4.158989691418386,10.4399375
68,016o030w_0.88895_20uc010p_-0.88895.wav,1788,613,0.0889187350072617,6.7700625
69,40jc0214_2.1931_408c020w_-2.1931.wav,19812,10139,4.804918181991964,11.4641875
70,01po030u_1.2371_01eo0310_-1.2371.wav,2352,27280,0.5019977766159207,14.0064375
71,014o031b_1.7477_40lc0203_-1.7477.wav,7055,5526,-1.5784973202805457,13.1170625
72,405c0211_0.52036_01lo030r_-0.52036.wav,3169,4066,0.95456300803826,9.222625
73,209c0101_1.8071_01ba010n_-1.8071.wav,29497,28951,3.5305963975406813,11.113
74,029c0215_1.0947_40oc0211_-1.0947.wav,10126,31927,-1.4335273922324376,10.193875
75,409c0205_2.3932_014o0318_-2.3932.wav,6321,5203,5.296378367180896,13.06825
76,01ja0108_1.8009_20vc010l_-1.8009.wav,9365,20504,0.9804716619306566,8.0331875
77,024a010k_1.7131_20na010k_-1.7131.wav,804,2347,1.868393354079485,5.6969375
78,401a010r_0.25376_01bc021a_-0.25376.wav,11329,20060,5.632816668911895,9.732
79,40ao0313_0.071865_029a010i_-0.071865.wav,10521,23204,1.676787017899087,9.5665
80,02co0318_0.088694_40hc020c_-0.088694.wav,12569,3556,2.040306027523803,13.9740625
81,01mc0205_1.0994_022a0101_-1.0994.wav,18363,16371,-1.165686849020642,7.9956875
82,404o030s_1.3002_01go0310_-1.3002.wav,16579,14803,3.559044665408516,10.93925
83,027a010k_2.2201_20la010r_-2.2201.wav,23935,10356,5.036471401654604,8.1031875
84,01ia010d_1.4823_401a010f_-1.4823.wav,30003,12273,-2.0931134475348627,8.8639375
85,206a0105_0.89809_022c020d_-0.89809.wav,2376,1596,5.849919376403044,7.02825
86,20tc0103_0.065677_20uc0107_-0.065677.wav,9354,7407,5.1214376155664585,11.0075625
87,01ro0310_0.94803_40co030j_-0.94803.wav,29503,24673,0.5067278844425953,14.0509375
88,01ea010b_2.4984_02ac0218_-2.4984.wav,17235,1553,5.862614968216436,6.5811875
89,024c020l_1.9084_022o0306_-1.9084.wav,24707,29568,0.6477936664370176,16.6324375
90,02da0110_2.2367_403o030p_-2.2367.wav,31655,23517,-1.182390621696911,11.9389375
91,01vc020i_1.0248_01uc0213_-1.0248.wav,4006,29139,1.3920034968121424,14.336625
92,025a010n_2.1702_01wo030n_-2.1702.wav,20752,14496,-2.2780925909558665,11.0503125
93,40hc021a_2.272_20sc010i_-2.272.wav,10532,440,-0.1911320291903138,6.56575
94,409c020p_0.7996_20ic0108_-0.7996.wav,20207,30590,4.167945380108477,8.9948125
95,01pa0103_0.52037_018c0206_-0.52037.wav,21574,1923,-2.2805767058021447,7.8958125
96,01qc0213_0.018171_01wo030y_-0.018171.wav,13421,14458,-2.607379694839564,12.392875
97,40do030w_1.3154_02co030b_-1.3154.wav,551,19024,-0.5200331878172815,13.0878125
98,01ga010y_0.67597_01mc020g_-0.67597.wav,3361,19406,1.9651353486985244,9.3999375
99,01fc0206_0.61463_01bc0209_-0.61463.wav,25990,22312,-0.1855729212909205,16.379375
100,022c0212_1.6357_20go010k_-1.6357.wav,662,12707,-0.8570780200859094,7.7555625
101,40ba0111_0.78954_01za0107_-0.78954.wav,196,11132,5.604895078551664,7.2369375
102,403o030f_2.4066_01uo030g_-2.4066.wav,1262,19896,2.211550181491781,13.9995625
103,024a0104_2.4319_40ka010i_-2.4319.wav,23444,16486,-1.7460174027351023,8.0238125
104,409o031b_1.241_408c0213_-1.241.wav,18155,1480,1.2706943627726046,8.7945625
105,02ca010w_1.4548_20ao010f_-1.4548.wav,27508,3848,1.2069598396644476,10.75975
106,01ya010y_2.3571_205a0102_-2.3571.wav,26157,6083,4.688766333571263,8.387625
107,40aa0101_0.50298_408o0301_-0.50298.wav,30020,24770,5.163787125081708,10.8289375
108,205o0102_0.90488_022c020y_-0.90488.wav,16427,9017,2.7345338268529984,14.77025
109,40ic020u_1.3598_20ro010q_-1.3598.wav,22708,12307,3.8526257362356366,10.3884375
110,01go030f_1.6873_20go010c_-1.6873.wav,4531,27957,3.048339419964922,10.62325
111,40co0301_2.1604_20no0108_-2.1604.wav,10106,4965,3.8548711259808313,10.7019375
112,023c0203_0.71082_028c0206_-0.71082.wav,31064,11957,-1.985245278502576,12.655875
113,40ga010n_0.11569_01xo030k_-0.11569.wav,4476,19455,1.8218372614395169,11.191875
114,20na010s_2.1541_017o031e_-2.1541.wav,3160,16543,1.4563670696640845,12.309625
115,40go030p_0.81516_016c0208_-0.81516.wav,5448,24818,1.7054876038784397,11.0283125
116,018a0102_1.0525_01ic0204_-1.0525.wav,25945,29928,2.738383424922075,12.435125
117,01pa0109_1.8226_01da0103_-1.8226.wav,13026,20261,4.702393121907803,7.9245625
118,40pa010y_2.0926_01da010d_-2.0926.wav,10760,13807,-1.2003475622282982,7.3453125
119,40fc020a_2.1486_209a010v_-2.1486.wav,13394,6892,4.13175478699487,10.5494375
120,205a0114_2.0108_01ec020k_-2.0108.wav,28396,8272,5.858748989873103,8.544625
121,020a010v_2.0482_209a010f_-2.0482.wav,4061,16701,-2.674118550384383,6.257625
122,20no010f_1.8458_014o0311_-1.8458.wav,11083,27015,2.2765687261219,12.641125
123,023c020q_2.4019_01qc020l_-2.4019.wav,24746,9998,0.2161594217802607,6.3753125
124,20oa010u_0.55605_01co030b_-0.55605.wav,28865,12977,-1.720541368033023,15.5201875
125,01zc020z_1.4194_401a010d_-1.4194.wav,15269,1735,4.154666773519,9.538375
126,407a010t_1.3014_026c0210_-1.3014.wav,4248,25764,-1.585910712834579,9.9715625
127,403a0112_1.6265_20ha010s_-1.6265.wav,6416,29438,1.5991419628159536,6.9559375
128,20ha010c_0.81519_20ua010m_-0.81519.wav,27618,4243,1.786868880709494,6.9313125
129,40fo0318_0.57632_40lc0206_-0.57632.wav,30202,16395,-0.5212426285219394,12.8259375
130,40go030y_1.1436_01gc020y_-1.1436.wav,28287,29334,0.9673467568273332,18.654625
131,020o030z_0.60616_401o030g_-0.60616.wav,15793,11767,5.582577439255763,9.888875
132,205a010t_1.0063_20ta010g_-1.0063.wav,29266,18174,-0.8820992955732923,8.745
133,20va0111_2.2506_20uc010k_-2.2506.wav,6186,9488,3.764394248085937,9.959625
134,021c020c_0.50127_20la010d_-0.50127.wav,31628,17443,5.926796403382138,10.25875
135,01xc020y_1.4938_20ko0104_-1.4938.wav,17941,15693,2.772883066461212,10.002125
136,015o0303_0.98082_01xc020z_-0.98082.wav,23804,7738,-2.434596787692449,7.9303125
